2024 Spring-Summer Combined IREAD 3 Results,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,
,,,,
Corp ID,Corporation Name,IREAD PASS N,IREAD TEST N,IREAD Pass %
0015,Adams Central Community Schools,75,88,85.2%
0025,North Adams Community Schools,77,98,78.6%
0035,South Adams Schools,81,93,87.1%
0125,MSD Southwest Allen County Schls,484,536,90.3%
0225,Northwest Allen County Schools,527,586,89.9%
0235,Fort Wayne Community Schools,1659,2171,76.4%
0255,East Allen County Schools,559,692,80.8%
0365,Bartholomew Con School Corp,723,851,85.0%
0370,Flat Rock-Hawcreek School Corp,51,56,91.1%
0395,Benton Community School Corp,83,102,81.4%
0515,Blackford County Schools,85,110,77.3%
0615,Western Boone Co Com Sch Dist,104,121,86.0%
0630,Zionsville Community Schools,567,599,94.7%
0665,Lebanon Community School Corp,219,270,81.1%
0670,Brown County School Corporation,98,109,89.9%
0750,Carroll Consolidated School Corp,59,72,81.9%
0755,Delphi Community School Corp,80,109,73.4%
0775,Pioneer Regional School Corp,48,63,76.2%
0815,Lewis Cass Schools ,86,105,81.9%
0875,Logansport Community Sch Corp,222,333,66.7%
0935,Borden-Henryville School Corporation,95,108,88.0%
0945,Silver Creek School Corporation,203,241,84.2%
1000,Clarksville Community School Corp,137,239,57.3%
1010,Greater Clark County Schools,620,755,82.1%
1125,Clay Community Schools,276,303,91.1%
1150,Clinton Central School Corporation,55,64,85.9%
1160,Clinton Prairie School Corporation,93,100,93.0%
1170,Community Schools of Frankfort,165,216,76.4%
1180,Rossville Con School District,72,84,85.7%
1300,Crawford County Community Sch Corp,71,89,79.8%
1315,Barr-Reeve Community Schools Inc,76,83,91.6%
1375,North Daviess Com Schools,88,94,93.6%
1405,Washington Community Schools,116,171,67.8%
1560,Sunman-Dearborn Com Sch Corp,256,283,90.5%
1600,South Dearborn Community Sch Corp,114,126,90.5%
1620,Lawrenceburg Community School Corp,139,144,96.5%
1655,Decatur County Community Schools,126,137,92.0%
1730,Greensburg Community Schools,150,153,98.0%
1805,DeKalb Co Eastern Com Sch Dist,92,96,95.8%
1820,Garrett-Keyser-Butler Com Sch Corp,102,124,82.3%
1835,DeKalb Co Ctl United Sch Dist,243,271,89.7%
1875,Delaware Community School Corp,159,173,91.9%
1885,Wes-Del Community Schools,61,66,92.4%
1895,Liberty-Perry Community Sch Corp,70,84,83.3%
1900,Cowan Community School Corp,49,61,80.3%
1910,Yorktown Community Schools,194,214,90.7%
1940,Daleville Community Schools,73,79,92.4%
1970,Muncie Community Schools,259,371,69.8%
2040,Northeast Dubois Co Sch Corp,43,49,87.8%
2100,Southeast Dubois Co Sch Corp,79,93,84.9%
2110,Southwest Dubois Co Sch Corp,137,161,85.1%
2120,Greater Jasper Consolidated Schs,269,286,94.1%
2155,Fairfield Community Schools,166,175,94.9%
2260,Baugo Community Schools,108,121,89.3%
2270,Concord Community Schools,288,370,77.8%
2275,Middlebury Community Schools,274,296,92.6%
2285,Wa-Nee Community Schools,201,226,88.9%
2305,Elkhart Community Schools,547,846,64.7%
2315,Goshen Community Schools,307,434,70.7%
2395,Fayette County School Corporation,177,209,84.7%
2400,New Albany-Floyd Co Con Sch,691,787,87.8%
2435,Attica Consolidated School Corp,32,33,97.0%
2440,Covington Community School Corp,52,61,85.2%
2455,Southeast Fountain School Corp,77,85,90.6%
2475,Franklin County Community Sch Corp,105,126,83.3%
2645,Rochester Community School Corp,116,132,87.9%
2650,Caston School Corporation,50,63,79.4%
2725,East Gibson School Corporation,49,58,84.5%
2735,North Gibson School Corporation,103,127,81.1%
2765,South Gibson School Corporation,106,121,87.6%
2815,Eastbrook Community Sch Corp,91,104,87.5%
2825,Madison-Grant United School Corp,69,94,73.4%
2855,Mississinewa Community School Corp,115,146,78.8%
2865,Marion Community Schools,185,245,75.5%
2920,Bloomfield School District,59,68,86.8%
2940,Eastern Greene Schools,64,78,82.1%
2950,Linton-Stockton School Corporation,87,100,87.0%
2960,MSD Shakamak Schools,41,43,95.3%
2980,White River Valley School District,51,67,76.1%
3005,Hamilton Southeastern Schools,1415,1505,94.0%
3025,Hamilton Heights School Corp,133,161,82.6%
3030,Westfield-Washington Schools,702,781,89.9%
