2024 Spring-Summer IREAD-3 Results,,,,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,,,,
Public/Nonpublic,Corp Id,Corp Name,Sch Id,Sch Name,IREAD PASS N,IREAD TEST N,IREAD Pass%
Public,0015,Adams Central Community Schools,0020,Adams Central Elementary School,75,88,85.2%
Public,0025,North Adams Community Schools,0037,Bellmont Elementary ,77,98,78.6%
Public,0035,South Adams Schools,0025,South Adams Elementary School,81,93,87.1%
Public,0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,90,92,97.8%
Public,0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,67,86,77.9%
Public,0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,91,97,93.8%
Public,0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,61,63,96.8%
Public,0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,72,74,97.3%
Public,0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,103,124,83.1%
Public,0225,Northwest Allen County Schools,0069,Arcola School,37,46,80.4%
Public,0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,58,68,85.3%
Public,0225,Northwest Allen County Schools,0089,Huntertown Elementary School,84,92,91.3%
Public,0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,89,92,96.7%
Public,0225,Northwest Allen County Schools,0094,Oak View Elementary School,57,65,87.7%
Public,0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,77,80,96.3%
Public,0225,Northwest Allen County Schools,0096,Eel River Elementary School,47,57,82.5%
Public,0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,78,86,90.7%
Public,0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,63,71,88.7%
Public,0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,100,118,84.7%
Public,0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,48,88,54.5%
Public,0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,38,71,53.5%
Public,0235,Fort Wayne Community Schools,0141,Adams Elementary School,26,41,63.4%
Public,0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,31,44,70.5%
Public,0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,49,61,80.3%
Public,0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,104,104,100.0%
Public,0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,77,101,76.2%
Public,0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,53,61,86.9%
Public,0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,77,99,77.8%
Public,0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,48,76,63.2%
Public,0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,71,95,74.7%
Public,0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,61,68,89.7%
Public,0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,38,58,65.5%
Public,0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,43,46,93.5%
Public,0235,Fort Wayne Community Schools,0197,Lindley Elementary School,35,44,79.5%
Public,0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,79,92,85.9%
Public,0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,40,49,81.6%
