School Enrollment - Public Kindergarten"Region Name","Region Code","year","Data"
"Economic Growth Region 1","1","2024",8684
"Economic Growth Region 2","2","2024",6604
"Economic Growth Region 3","3","2024",7877
"Economic Growth Region 4","4","2024",5557
"Economic Growth Region 5","5","2024",12421
"Economic Growth Region 6","6","2024",3823
"Economic Growth Region 7","7","2024",2732
"Economic Growth Region 8","8","2024",2792
"Economic Growth Region 9","9","2024",3662
"Economic Growth Region 10","10","2024",3358
"Economic Growth Region 11","11","2024",4217
"Economic Growth Region 12 (Marion Co)","12","2024",11149

This table was produced by STATS Indiana : 2/4/2025 6:40:25 PM
