School Enrollment - Private Kindergarten"Geography","statefips","countyfips","year","Data"
"Adams County, IN","18","001","2024",40
"Allen County, IN","18","003","2024",930
"Bartholomew County, IN","18","005","2024",160
"Benton County, IN","18","007","2024",19
"Boone County, IN","18","011","2024",86
"Clark County, IN","18","019","2024",91
"Daviess County, IN","18","027","2024",24
"Dearborn County, IN","18","029","2024",40
"Decatur County, IN","18","031","2024",43
"DeKalb County, IN","18","033","2024",64
"Delaware County, IN","18","035","2024",44
"Dubois County, IN","18","037","2024",55
"Elkhart County, IN","18","039","2024",178
"Fayette County, IN","18","041","2024",15
"Floyd County, IN","18","043","2024",226
"Fountain County, IN","18","045","2024",6
"Franklin County, IN","18","047","2024",21
"Gibson County, IN","18","051","2024",92
"Grant County, IN","18","053","2024",56
"Hamilton County, IN","18","057","2024",313
"Hancock County, IN","18","059","2024",58
"Harrison County, IN","18","061","2024",31
"Hendricks County, IN","18","063","2024",226
"Howard County, IN","18","067","2024",52
"Huntington County, IN","18","069","2024",21
"Jackson County, IN","18","071","2024",97
"Jasper County, IN","18","073","2024",44
"Jay County, IN","18","075","2024",16
"Jefferson County, IN","18","077","2024",56
"Jennings County, IN","18","079","2024",28
"Johnson County, IN","18","081","2024",178
"Knox County, IN","18","083","2024",23
"Kosciusko County, IN","18","085","2024",60
"Lake County, IN","18","089","2024",608
"LaPorte County, IN","18","091","2024",76
"Lawrence County, IN","18","093","2024",14
"Madison County, IN","18","095","2024",95
"Marion County, IN","18","097","2024",1543
"Marshall County, IN","18","099","2024",44
"Monroe County, IN","18","105","2024",86
"Morgan County, IN","18","109","2024",101
"Noble County, IN","18","113","2024",34
"Porter County, IN","18","127","2024",162
"Posey County, IN","18","129","2024",64
"Ripley County, IN","18","137","2024",53
"Rush County, IN","18","139","2024",20
"St. Joseph County, IN","18","141","2024",549
"Scott County, IN","18","143","2024",11
"Shelby County, IN","18","145","2024",14
"Spencer County, IN","18","147","2024",15
"Starke County, IN","18","149","2024",21
"Tippecanoe County, IN","18","157","2024",192
"Vanderburgh County, IN","18","163","2024",437
"Vermillion County, IN","18","165","2024",3
"Vigo County, IN","18","167","2024",43
"Wabash County, IN","18","169","2024",27
"Warrick County, IN","18","173","2024",45
"Wayne County, IN","18","177","2024",34
"Wells County, IN","18","179","2024",0
"Whitley County, IN","18","183","2024",0

This table was produced by STATS Indiana : 2/4/2025 6:38:44 PM
