Private Enrollment - 7 thru 12
"Geography","statefips","countyfips","year","Data"
"Adams County, IN","18","001","2024",95
"Allen County, IN","18","003","2024",4048
"Bartholomew County, IN","18","005","2024",307
"Benton County, IN","18","007","2024",0
"Boone County, IN","18","011","2024",158
"Clark County, IN","18","019","2024",519
"Daviess County, IN","18","027","2024",97
"Dearborn County, IN","18","029","2024",45
"Decatur County, IN","18","031","2024",39
"DeKalb County, IN","18","033","2024",278
"Delaware County, IN","18","035","2024",68
"Dubois County, IN","18","037","2024",72
"Elkhart County, IN","18","039","2024",1235
"Fayette County, IN","18","041","2024",0
"Floyd County, IN","18","043","2024",610
"Fountain County, IN","18","045","2024",4
"Franklin County, IN","18","047","2024",191
"Gibson County, IN","18","051","2024",42
"Grant County, IN","18","053","2024",172
"Hamilton County, IN","18","057","2024",1951
"Hancock County, IN","18","059","2024",43
"Harrison County, IN","18","061","2024",27
"Hendricks County, IN","18","063","2024",444
"Howard County, IN","18","067","2024",58
"Huntington County, IN","18","069","2024",24
"Jackson County, IN","18","071","2024",401
"Jasper County, IN","18","073","2024",217
"Jay County, IN","18","075","2024",51
"Jefferson County, IN","18","077","2024",267
"Jennings County, IN","18","079","2024",37
"Johnson County, IN","18","081","2024",496
"Knox County, IN","18","083","2024",140
"Kosciusko County, IN","18","085","2024",200
"Lake County, IN","18","089","2024",2838
"LaPorte County, IN","18","091","2024",349
"Lawrence County, IN","18","093","2024",33
"Madison County, IN","18","095","2024",346
"Marion County, IN","18","097","2024",10267
"Marshall County, IN","18","099","2024",79
"Monroe County, IN","18","105","2024",249
"Morgan County, IN","18","109","2024",315
"Noble County, IN","18","113","2024",37
"Porter County, IN","18","127","2024",448
"Posey County, IN","18","129","2024",71
"Ripley County, IN","18","137","2024",84
"Rush County, IN","18","139","2024",0
"St. Joseph County, IN","18","141","2024",3024
"Scott County, IN","18","143","2024",44
"Shelby County, IN","18","145","2024",0
"Spencer County, IN","18","147","2024",25
"Starke County, IN","18","149","2024",24
"Tippecanoe County, IN","18","157","2024",977
"Vanderburgh County, IN","18","163","2024",2167
"Vermillion County, IN","18","165","2024",8
"Vigo County, IN","18","167","2024",90
"Wabash County, IN","18","169","2024",0
"Warrick County, IN","18","173","2024",104
"Wayne County, IN","18","177","2024",180
"Wells County, IN","18","179","2024",21
"Whitley County, IN","18","183","2024",35

This table was produced by STATS Indiana : 2/4/2025 6:41:01 PM
