Private Enrollment - 7 thru 12
"Region Name","Region Code","year","Data"
"Economic Growth Region 1","1","2024",3876
"Economic Growth Region 2","2","2024",4538
"Economic Growth Region 3","3","2024",4710
"Economic Growth Region 4","4","2024",1039
"Economic Growth Region 5","5","2024",3753
"Economic Growth Region 6","6","2024",299
"Economic Growth Region 7","7","2024",98
"Economic Growth Region 8","8","2024",379
"Economic Growth Region 9","9","2024",1371
"Economic Growth Region 10","10","2024",1200
"Economic Growth Region 11","11","2024",2621
"Economic Growth Region 12 (Marion Co)","12","2024",10267

This table was produced by STATS Indiana : 2/4/2025 6:41:07 PM
