Private Enrollment - K thru 6"Region Name","Region Code","year","Data"
"Economic Growth Region 1","1","2024",6204
"Economic Growth Region 2","2","2024",5817
"Economic Growth Region 3","3","2024",7914
"Economic Growth Region 4","4","2024",1699
"Economic Growth Region 5","5","2024",6588
"Economic Growth Region 6","6","2024",818
"Economic Growth Region 7","7","2024",276
"Economic Growth Region 8","8","2024",921
"Economic Growth Region 9","9","2024",3151
"Economic Growth Region 10","10","2024",2055
"Economic Growth Region 11","11","2024",4459
"Economic Growth Region 12 (Marion Co)","12","2024",11031

This table was produced by STATS Indiana : 2/4/2025 6:40:43 PM
