Public Enrollment - K thru 6
"Geography","statefips","countyfips","year","Data"
"Adams County, IN","18","001","2024",2070
"Allen County, IN","18","003","2024",28367
"Bartholomew County, IN","18","005","2024",6387
"Benton County, IN","18","007","2024",815
"Blackford County, IN","18","009","2024",756
"Boone County, IN","18","011","2024",6863
"Brown County, IN","18","013","2024",763
"Carroll County, IN","18","015","2024",1246
"Cass County, IN","18","017","2024",3466
"Clark County, IN","18","019","2024",10053
"Clay County, IN","18","021","2024",2240
"Clinton County, IN","18","023","2024",2929
"Crawford County, IN","18","025","2024",668
"Daviess County, IN","18","027","2024",2479
"Dearborn County, IN","18","029","2024",3504
"Decatur County, IN","18","031","2024",2038
"DeKalb County, IN","18","033","2024",3357
"Delaware County, IN","18","035","2024",8185
"Dubois County, IN","18","037","2024",3303
"Elkhart County, IN","18","039","2024",17671
"Fayette County, IN","18","041","2024",1532
"Floyd County, IN","18","043","2024",6031
"Fountain County, IN","18","045","2024",1257
"Franklin County, IN","18","047","2024",1023
"Fulton County, IN","18","049","2024",1640
"Gibson County, IN","18","051","2024",2362
"Grant County, IN","18","053","2024",4913
"Greene County, IN","18","055","2024",2465
"Hamilton County, IN","18","057","2024",31321
"Hancock County, IN","18","059","2024",7412
"Harrison County, IN","18","061","2024",3126
"Hendricks County, IN","18","063","2024",16650
"Henry County, IN","18","065","2024",3437
"Howard County, IN","18","067","2024",6418
"Huntington County, IN","18","069","2024",2598
"Jackson County, IN","18","071","2024",3990
"Jasper County, IN","18","073","2024",2554
"Jay County, IN","18","075","2024",2176
"Jefferson County, IN","18","077","2024",2126
"Jennings County, IN","18","079","2024",1998
"Johnson County, IN","18","081","2024",14852
"Knox County, IN","18","083","2024",2733
"Kosciusko County, IN","18","085","2024",5809
"LaGrange County, IN","18","087","2024",2742
"Lake County, IN","18","089","2024",37466
"LaPorte County, IN","18","091","2024",7686
"Lawrence County, IN","18","093","2024",2437
"Madison County, IN","18","095","2024",8871
"Marion County, IN","18","097","2024",79733
"Marshall County, IN","18","099","2024",4272
"Martin County, IN","18","101","2024",741
"Miami County, IN","18","103","2024",2652
"Monroe County, IN","18","105","2024",7271
"Montgomery County, IN","18","107","2024",3044
"Morgan County, IN","18","109","2024",5150
"Newton County, IN","18","111","2024",1008
"Noble County, IN","18","113","2024",3371
"Ohio County, IN","18","115","2024",426
"Orange County, IN","18","117","2024",1532
"Owen County, IN","18","119","2024",1124
"Parke County, IN","18","121","2024",1144
"Perry County, IN","18","123","2024",1479
"Pike County, IN","18","125","2024",898
"Porter County, IN","18","127","2024",13436
"Posey County, IN","18","129","2024",1836
"Pulaski County, IN","18","131","2024",863
"Putnam County, IN","18","133","2024",4017
"Randolph County, IN","18","135","2024",4296
"Ripley County, IN","18","137","2024",2961
"Rush County, IN","18","139","2024",966
"St. Joseph County, IN","18","141","2024",17670
"Scott County, IN","18","143","2024",2066
"Shelby County, IN","18","145","2024",3613
"Spencer County, IN","18","147","2024",1549
"Starke County, IN","18","149","2024",1597
"Steuben County, IN","18","151","2024",2047
"Sullivan County, IN","18","153","2024",1644
"Switzerland County, IN","18","155","2024",744
"Tippecanoe County, IN","18","157","2024",12930
"Tipton County, IN","18","159","2024",1149
"Union County, IN","18","161","2024",678
"Vanderburgh County, IN","18","163","2024",11214
"Vermillion County, IN","18","165","2024",1181
"Vigo County, IN","18","167","2024",7402
"Wabash County, IN","18","169","2024",2290
"Warren County, IN","18","171","2024",764
"Warrick County, IN","18","173","2024",5212
"Washington County, IN","18","175","2024",2085
"Wayne County, IN","18","177","2024",4706
"Wells County, IN","18","179","2024",2630
"White County, IN","18","181","2024",2254
"Whitley County, IN","18","183","2024",2738

This table was produced by STATS Indiana : 2/4/2025 6:41:22 PM
