Public Enrollment - 7 thru 12
"Geography","statefips","countyfips","year","Data"
"Adams County, IN","18","001","2024",1965
"Allen County, IN","18","003","2024",25452
"Bartholomew County, IN","18","005","2024",5902
"Benton County, IN","18","007","2024",790
"Blackford County, IN","18","009","2024",715
"Boone County, IN","18","011","2024",5830
"Brown County, IN","18","013","2024",732
"Carroll County, IN","18","015","2024",1089
"Cass County, IN","18","017","2024",3176
"Clark County, IN","18","019","2024",10646
"Clay County, IN","18","021","2024",1771
"Clinton County, IN","18","023","2024",2619
"Crawford County, IN","18","025","2024",617
"Daviess County, IN","18","027","2024",2100
"Dearborn County, IN","18","029","2024",3806
"Decatur County, IN","18","031","2024",1795
"DeKalb County, IN","18","033","2024",2935
"Delaware County, IN","18","035","2024",6881
"Dubois County, IN","18","037","2024",3276
"Elkhart County, IN","18","039","2024",15798
"Fayette County, IN","18","041","2024",1404
"Floyd County, IN","18","043","2024",5577
"Fountain County, IN","18","045","2024",1111
"Franklin County, IN","18","047","2024",931
"Fulton County, IN","18","049","2024",691
"Gibson County, IN","18","051","2024",2316
"Grant County, IN","18","053","2024",4536
"Greene County, IN","18","055","2024",2077
"Hamilton County, IN","18","057","2024",30477
"Hancock County, IN","18","059","2024",6724
"Harrison County, IN","18","061","2024",2628
"Hendricks County, IN","18","063","2024",15729
"Henry County, IN","18","065","2024",3003
"Howard County, IN","18","067","2024",5969
"Huntington County, IN","18","069","2024",2119
"Jackson County, IN","18","071","2024",3455
"Jasper County, IN","18","073","2024",2149
"Jay County, IN","18","075","2024",1273
"Jefferson County, IN","18","077","2024",1689
"Jennings County, IN","18","079","2024",1789
"Johnson County, IN","18","081","2024",13095
"Knox County, IN","18","083","2024",2325
"Kosciusko County, IN","18","085","2024",6038
"LaGrange County, IN","18","087","2024",2071
"Lake County, IN","18","089","2024",34932
"LaPorte County, IN","18","091","2024",7508
"Lawrence County, IN","18","093","2024",2124
"Madison County, IN","18","095","2024",8441
"Marion County, IN","18","097","2024",74638
"Marshall County, IN","18","099","2024",3118
"Martin County, IN","18","101","2024",640
"Miami County, IN","18","103","2024",2089
"Monroe County, IN","18","105","2024",6499
"Montgomery County, IN","18","107","2024",2605
"Morgan County, IN","18","109","2024",4859
"Newton County, IN","18","111","2024",872
"Noble County, IN","18","113","2024",3135
"Ohio County, IN","18","115","2024",373
"Orange County, IN","18","117","2024",1364
"Owen County, IN","18","119","2024",988
"Parke County, IN","18","121","2024",1003
"Perry County, IN","18","123","2024",1244
"Pike County, IN","18","125","2024",728
"Porter County, IN","18","127","2024",12333
"Posey County, IN","18","129","2024",1588
"Pulaski County, IN","18","131","2024",835
"Putnam County, IN","18","133","2024",2552
"Randolph County, IN","18","135","2024",7249
"Ripley County, IN","18","137","2024",2373
"Rush County, IN","18","139","2024",1007
"St. Joseph County, IN","18","141","2024",16629
"Scott County, IN","18","143","2024",1670
"Shelby County, IN","18","145","2024",3355
"Spencer County, IN","18","147","2024",1453
"Starke County, IN","18","149","2024",1413
"Steuben County, IN","18","151","2024",1679
"Sullivan County, IN","18","153","2024",1469
"Switzerland County, IN","18","155","2024",673
"Tippecanoe County, IN","18","157","2024",10591
"Tipton County, IN","18","159","2024",997
"Union County, IN","18","161","2024",573
"Vanderburgh County, IN","18","163","2024",10318
"Vermillion County, IN","18","165","2024",1048
"Vigo County, IN","18","167","2024",5750
"Wabash County, IN","18","169","2024",2633
"Warren County, IN","18","171","2024",606
"Warrick County, IN","18","173","2024",4681
"Washington County, IN","18","175","2024",1780
"Wayne County, IN","18","177","2024",4316
"Wells County, IN","18","179","2024",2298
"White County, IN","18","181","2024",2012
"Whitley County, IN","18","183","2024",2833

This table was produced by STATS Indiana : 2/4/2025 6:41:30 PM
