Public Enrollment - 7 thru 12
"Region Name","Region Code","year","Data"
"Economic Growth Region 1","1","2024",60042
"Economic Growth Region 2","2","2024",42274
"Economic Growth Region 3","3","2024",51656
"Economic Growth Region 4","4","2024",33654
"Economic Growth Region 5","5","2024",88510
"Economic Growth Region 6","6","2024",26421
"Economic Growth Region 7","7","2024",13593
"Economic Growth Region 8","8","2024",16524
"Economic Growth Region 9","9","2024",22786
"Economic Growth Region 10","10","2024",22918
"Economic Growth Region 11","11","2024",27929
"Economic Growth Region 12 (Marion Co)","12","2024",74638

This table was produced by STATS Indiana : 2/4/2025 6:41:37 PM
