Public High School Dropouts
"Geography","statefips","countyfips","year","Data"
"Adams County, IN","18","001","2023",7
"Allen County, IN","18","003","2023",225
"Bartholomew County, IN","18","005","2023",113
"Benton County, IN","18","007","2023",6
"Blackford County, IN","18","009","2023",1
"Boone County, IN","18","011","2023",16
"Brown County, IN","18","013","2023",7
"Carroll County, IN","18","015","2023",12
"Cass County, IN","18","017","2023",48
"Clark County, IN","18","019","2023",265
"Clay County, IN","18","021","2023",14
"Clinton County, IN","18","023","2023",27
"Crawford County, IN","18","025","2023",10
"Daviess County, IN","18","027","2023",11
"Dearborn County, IN","18","029","2023",19
"Decatur County, IN","18","031","2023",13
"DeKalb County, IN","18","033","2023",10
"Delaware County, IN","18","035","2023",68
"Dubois County, IN","18","037","2023",18
"Elkhart County, IN","18","039","2023",98
"Fayette County, IN","18","041","2023",5
"Floyd County, IN","18","043","2023",9
"Fountain County, IN","18","045","2023",3
"Franklin County, IN","18","047","2023",2
"Fulton County, IN","18","049","2023",4
"Gibson County, IN","18","051","2023",11
"Grant County, IN","18","053","2023",48
"Greene County, IN","18","055","2023",12
"Hamilton County, IN","18","057","2023",132
"Hancock County, IN","18","059","2023",54
"Harrison County, IN","18","061","2023",7
"Hendricks County, IN","18","063","2023",61
"Henry County, IN","18","065","2023",21
"Howard County, IN","18","067","2023",91
"Huntington County, IN","18","069","2023",2
"Jackson County, IN","18","071","2023",35
"Jasper County, IN","18","073","2023",15
"Jay County, IN","18","075","2023",26
"Jefferson County, IN","18","077","2023",28
"Jennings County, IN","18","079","2023",0
"Johnson County, IN","18","081","2023",48
"Knox County, IN","18","083","2023",6
"Kosciusko County, IN","18","085","2023",32
"LaGrange County, IN","18","087","2023",14
"Lake County, IN","18","089","2023",439
"LaPorte County, IN","18","091","2023",63
"Lawrence County, IN","18","093","2023",39
"Madison County, IN","18","095","2023",96
"Marion County, IN","18","097","2023",1511
"Marshall County, IN","18","099","2023",46
"Martin County, IN","18","101","2023",7
"Miami County, IN","18","103","2023",25
"Monroe County, IN","18","105","2023",47
"Montgomery County, IN","18","107","2023",22
"Morgan County, IN","18","109","2023",41
"Newton County, IN","18","111","2023",9
"Noble County, IN","18","113","2023",19
"Ohio County, IN","18","115","2023",2
"Orange County, IN","18","117","2023",13
"Owen County, IN","18","119","2023",9
"Parke County, IN","18","121","2023",10
"Perry County, IN","18","123","2023",7
"Pike County, IN","18","125","2023",10
"Porter County, IN","18","127","2023",70
"Posey County, IN","18","129","2023",12
"Pulaski County, IN","18","131","2023",0
"Putnam County, IN","18","133","2023",21
"Randolph County, IN","18","135","2023",123
"Ripley County, IN","18","137","2023",7
"Rush County, IN","18","139","2023",1
"St. Joseph County, IN","18","141","2023",177
"Scott County, IN","18","143","2023",22
"Shelby County, IN","18","145","2023",38
"Spencer County, IN","18","147","2023",3
"Starke County, IN","18","149","2023",18
"Steuben County, IN","18","151","2023",14
"Sullivan County, IN","18","153","2023",26
"Switzerland County, IN","18","155","2023",6
"Tippecanoe County, IN","18","157","2023",129
"Tipton County, IN","18","159","2023",6
"Union County, IN","18","161","2023",5
"Vanderburgh County, IN","18","163","2023",192
"Vermillion County, IN","18","165","2023",22
"Vigo County, IN","18","167","2023",161
"Wabash County, IN","18","169","2023",63
"Warren County, IN","18","171","2023",2
"Warrick County, IN","18","173","2023",32
"Washington County, IN","18","175","2023",15
"Wayne County, IN","18","177","2023",23
"Wells County, IN","18","179","2023",3
"White County, IN","18","181","2023",17
"Whitley County, IN","18","183","2023",20

This table was produced by STATS Indiana : 2/4/2025 6:42:44 PM
