Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price
1,2/12/2025 14:46,2023,12/5/2022,1/1/2023,-2.89%,-0.028947649,"227,687.50"
2,2/12/2025 14:46,2022,12/6/2021,1/2/2022,14.94%,0.149387255,"234,475"
5,2/12/2025 14:46,2025,12/9/2024,1/5/2025,-1.58%,-0.015848981,"247,562.50"
7,2/12/2025 14:46,2024,12/11/2023,1/7/2024,5.84%,0.058375092,"251,549.30"
8,2/12/2025 14:46,2023,12/12/2022,1/8/2023,3.29%,0.032920469,"237,675"
9,2/12/2025 14:46,2022,12/13/2021,1/9/2022,18.61%,0.186082474,"230,100"
12,2/12/2025 14:46,2025,12/16/2024,1/12/2025,-2.62%,-0.026203598,"234,125"
14,2/12/2025 14:46,2024,12/18/2023,1/14/2024,6.42%,0.064180591,"240,425"
15,2/12/2025 14:46,2023,12/19/2022,1/15/2023,1.44%,0.014367494,"225,925"
16,2/12/2025 14:46,2022,12/20/2021,1/16/2022,12.06%,0.120628931,"222,725"
19,2/12/2025 14:46,2025,12/23/2024,1/19/2025,0.53%,0.005266451,"240,987.50"
21,2/12/2025 14:46,2024,12/25/2023,1/21/2024,-9.94%,-0.099370715,"239,725"
22,2/12/2025 14:46,2023,12/26/2022,1/22/2023,25.42%,0.254211332,"266,175"
23,2/12/2025 14:46,2022,12/27/2021,1/23/2022,11.70%,0.116973684,"212,225"
26,2/12/2025 14:46,2025,12/30/2024,1/26/2025,-3.69%,-0.036871106,"233,787.50"
28,2/12/2025 14:46,2024,1/1/2024,1/28/2024,-7.15%,-0.071483217,"242,737.50"
29,2/12/2025 14:46,2023,1/2/2023,1/29/2023,16.94%,0.169359799,"261,425"
30,2/12/2025 14:46,2022,1/3/2022,1/30/2022,5.21%,0.05212715,"223,562.50"
33,2/12/2025 14:46,2025,1/6/2025,2/2/2025,-3.29%,-0.032920959,"233,537.50"
35,2/12/2025 14:46,2024,1/8/2024,2/4/2024,-2.99%,-0.029927191,"241,487.50"
36,2/12/2025 14:46,2023,1/9/2023,2/5/2023,5.74%,0.057396198,"248,937.50"
37,2/12/2025 14:46,2022,1/10/2022,2/6/2022,5.83%,0.058274432,"235,425"
40,2/12/2025 14:46,2025,1/13/2025,2/9/2025,13.34%,0.133363471,"273,268.10"
42,2/12/2025 14:46,2024,1/15/2024,2/11/2024,-9.82%,-0.098223469,"241,112.50"
43,2/12/2025 14:46,2023,1/16/2023,2/12/2023,7.42%,0.074172651,"267,375"
44,2/12/2025 14:46,2022,1/17/2022,2/13/2022,14.33%,0.143315089,"248,912.50"
49,2/12/2025 14:46,2024,1/22/2024,2/18/2024,-5.51%,-0.055119311,"233,031.20"
50,2/12/2025 14:46,2023,1/23/2023,2/19/2023,-3.96%,-0.039575525,"246,625"
51,2/12/2025 14:46,2022,1/24/2022,2/20/2022,19.85%,0.198478773,"256,787.50"
56,2/12/2025 14:46,2024,1/29/2024,2/25/2024,-10.26%,-0.10256737,"233,781.20"
57,2/12/2025 14:46,2023,1/30/2023,2/26/2023,6.31%,0.063102586,"260,500"
58,2/12/2025 14:46,2022,1/31/2022,2/27/2022,26.13%,0.261291983,"245,037.50"
63,2/12/2025 14:46,2024,2/5/2024,3/3/2024,-11.45%,-0.11454201,"250,031.20"
64,2/12/2025 14:46,2023,2/6/2023,3/5/2023,22.75%,0.227450554,"282,375"
65,2/12/2025 14:46,2022,2/7/2022,3/6/2022,11.24%,0.112427466,"230,050"
70,2/12/2025 14:46,2024,2/12/2024,3/10/2024,0.70%,0.007023189,"271,959.20"
71,2/12/2025 14:46,2023,2/13/2023,3/12/2023,17.32%,0.173187573,"270,062.50"
72,2/12/2025 14:46,2022,2/14/2022,3/13/2022,6.30%,0.063013161,"230,195.50"
77,2/12/2025 14:46,2024,2/19/2024,3/17/2024,2.24%,0.02235685,"265,365.50"
78,2/12/2025 14:46,2023,2/20/2023,3/19/2023,11.61%,0.116059431,"259,562.50"
79,2/12/2025 14:46,2022,2/21/2022,3/20/2022,5.06%,0.050572558,"232,570.50"
84,2/12/2025 14:46,2024,2/26/2024,3/24/2024,11.89%,0.118892371,"272,240.50"
85,2/12/2025 14:46,2023,2/27/2023,3/26/2023,0.64%,0.006429984,"243,312.50"
86,2/12/2025 14:46,2022,2/28/2022,3/27/2022,6.27%,0.062730919,"241,758"
