Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price
1,2/5/2025 14:47,2023,12/5/2022,1/1/2023,2.94%,0.02936395,"229,023.70"
2,2/5/2025 14:47,2022,12/6/2021,1/2/2022,13.41%,0.134070723,"222,490.50"
5,2/5/2025 14:47,2025,12/9/2024,1/5/2025,-3.95%,-0.039492836,"227,735"
7,2/5/2025 14:47,2024,12/11/2023,1/7/2024,0.50%,0.004980424,"237,098.70"
8,2/5/2025 14:47,2023,12/12/2022,1/8/2023,7.42%,0.074196824,"235,923.70"
9,2/5/2025 14:47,2022,12/13/2021,1/9/2022,9.83%,0.09834594,"219,628"
12,2/5/2025 14:47,2025,12/16/2024,1/12/2025,4.51%,0.045084401,"235,835"
14,2/5/2025 14:47,2024,12/18/2023,1/14/2024,-7.70%,-0.076951018,"225,661.20"
15,2/5/2025 14:47,2023,12/19/2022,1/15/2023,9.46%,0.094561971,"244,473.70"
16,2/5/2025 14:47,2022,12/20/2021,1/16/2022,8.63%,0.086347276,"223,353"
19,2/5/2025 14:47,2025,12/23/2024,1/19/2025,4.06%,0.04057335,"235,211.20"
21,2/5/2025 14:47,2024,12/25/2023,1/21/2024,-7.16%,-0.071604038,"226,040"
22,2/5/2025 14:47,2023,12/26/2022,1/22/2023,7.40%,0.073990737,"243,473.70"
23,2/5/2025 14:47,2022,12/27/2021,1/23/2022,16.74%,0.167428388,"226,700"
26,2/5/2025 14:47,2025,12/30/2024,1/26/2025,7.30%,0.072970938,"240,725"
28,2/5/2025 14:47,2024,1/1/2024,1/28/2024,-6.49%,-0.064900698,"224,353.70"
29,2/5/2025 14:47,2023,1/2/2023,1/29/2023,6.17%,0.061732493,"239,925"
30,2/5/2025 14:47,2022,1/3/2022,1/30/2022,18.90%,0.188951003,"225,975"
33,2/5/2025 14:47,2025,1/6/2025,2/2/2025,11.31%,0.113110804,"248,200"
35,2/5/2025 14:47,2024,1/8/2024,2/4/2024,-4.11%,-0.041106488,"222,978.70"
36,2/5/2025 14:47,2023,1/9/2023,2/5/2023,3.59%,0.03591714,"232,537.50"
37,2/5/2025 14:47,2022,1/10/2022,2/6/2022,17.03%,0.17028348,"224,475"
42,2/5/2025 14:47,2024,1/15/2024,2/11/2024,1.98%,0.019826712,"234,228.70"
43,2/5/2025 14:47,2023,1/16/2023,2/12/2023,7.07%,0.070745921,"229,675"
44,2/5/2025 14:47,2022,1/17/2022,2/13/2022,1.27%,0.012688109,"214,500"
49,2/5/2025 14:47,2024,1/22/2024,2/18/2024,3.79%,0.037894507,"237,600"
50,2/5/2025 14:47,2023,1/23/2023,2/19/2023,3.24%,0.032356257,"228,925"
51,2/5/2025 14:47,2022,1/24/2022,2/20/2022,-3.27%,-0.032715376,"221,750"
56,2/5/2025 14:47,2024,1/29/2024,2/25/2024,-0.01%,-5.17E-05,"241,850"
57,2/5/2025 14:47,2023,1/30/2023,2/26/2023,9.22%,0.092238216,"241,862.50"
