Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price
1,2/12/2025 14:46,2023,12/5/2022,1/1/2023,-10.69%,-0.10693803,"219,950"
2,2/12/2025 14:46,2022,12/6/2021,1/2/2022,21.05%,0.210518529,"246,287.50"
5,2/12/2025 14:46,2025,12/9/2024,1/5/2025,33.33%,0.333254008,"315,981.20"
7,2/12/2025 14:46,2024,12/11/2023,1/7/2024,-2.18%,-0.021823247,"237,000"
8,2/12/2025 14:46,2023,12/12/2022,1/8/2023,3.50%,0.035029636,"242,287.50"
9,2/12/2025 14:46,2022,12/13/2021,1/9/2022,15.41%,0.15410006,"234,087.50"
12,2/12/2025 14:46,2025,12/16/2024,1/12/2025,9.91%,0.099122742,"288,231.20"
14,2/12/2025 14:46,2024,12/18/2023,1/14/2024,15.24%,0.152375721,"262,237.50"
15,2/12/2025 14:46,2023,12/19/2022,1/15/2023,-10.47%,-0.104701485,"227,562.50"
16,2/12/2025 14:46,2022,12/20/2021,1/16/2022,28.36%,0.283580522,"254,175"
19,2/12/2025 14:46,2025,12/23/2024,1/19/2025,2.52%,0.025169643,"284,856.20"
21,2/12/2025 14:46,2024,12/25/2023,1/21/2024,28.45%,0.28454204,"277,862.50"
22,2/12/2025 14:46,2023,12/26/2022,1/22/2023,-11.16%,-0.111607372,"216,312.50"
23,2/12/2025 14:46,2022,12/27/2021,1/23/2022,22.46%,0.224622359,"243,487.50"
26,2/12/2025 14:46,2025,12/30/2024,1/26/2025,-0.57%,-0.005665711,"264,356.20"
28,2/12/2025 14:46,2024,1/1/2024,1/28/2024,16.24%,0.162399489,"265,862.50"
29,2/12/2025 14:46,2023,1/2/2023,1/29/2023,2.40%,0.023979853,"228,718.70"
30,2/12/2025 14:46,2022,1/3/2022,1/30/2022,15.77%,0.157721756,"223,362.50"
33,2/12/2025 14:46,2025,1/6/2025,2/2/2025,-9.66%,-0.096621276,"242,975"
35,2/12/2025 14:46,2024,1/8/2024,2/4/2024,34.38%,0.343763021,"268,962.50"
36,2/12/2025 14:46,2023,1/9/2023,2/5/2023,-12.04%,-0.120385849,"200,156.20"
37,2/12/2025 14:46,2022,1/10/2022,2/6/2022,22.71%,0.227129181,"227,550"
40,2/12/2025 14:46,2025,1/13/2025,2/9/2025,1.70%,0.017041218,"238,725"
42,2/12/2025 14:46,2024,1/15/2024,2/11/2024,12.43%,0.124263104,"234,725"
43,2/12/2025 14:46,2023,1/16/2023,2/12/2023,1.42%,0.014239495,"208,781.20"
44,2/12/2025 14:46,2022,1/17/2022,2/13/2022,9.03%,0.0902714,"205,850"
49,2/12/2025 14:46,2024,1/22/2024,2/18/2024,5.86%,0.0585941,"233,850"
50,2/12/2025 14:46,2023,1/23/2023,2/19/2023,7.67%,0.076737708,"220,906.20"
51,2/12/2025 14:46,2022,1/24/2022,2/20/2022,2.52%,0.025171768,"205,162.50"
56,2/12/2025 14:46,2024,1/29/2024,2/25/2024,13.11%,0.131144045,"265,225"
57,2/12/2025 14:46,2023,1/30/2023,2/26/2023,7.24%,0.07243431,"234,475"
58,2/12/2025 14:46,2022,1/31/2022,2/27/2022,13.14%,0.131374386,"218,638.10"
63,2/12/2025 14:46,2024,2/5/2024,3/3/2024,-2.75%,-0.027535957,"259,125.20"
64,2/12/2025 14:46,2023,2/6/2023,3/5/2023,20.87%,0.208717509,"266,462.50"
65,2/12/2025 14:46,2022,2/7/2022,3/6/2022,12.12%,0.121172791,"220,450.60"
70,2/12/2025 14:46,2024,2/12/2024,3/10/2024,11.98%,0.119798511,"299,000.20"
71,2/12/2025 14:46,2023,2/13/2023,3/12/2023,20.19%,0.201943636,"267,012.50"
72,2/12/2025 14:46,2022,2/14/2022,3/13/2022,10.80%,0.107983042,"222,150.60"
77,2/12/2025 14:46,2024,2/19/2024,3/17/2024,16.51%,0.165058207,"316,750.20"
78,2/12/2025 14:46,2023,2/20/2023,3/19/2023,25.71%,0.257076619,"271,875"
79,2/12/2025 14:46,2022,2/21/2022,3/20/2022,8.89%,0.08886394,"216,275.60"
84,2/12/2025 14:46,2024,2/26/2024,3/24/2024,17.94%,0.179377266,"307,375.20"
85,2/12/2025 14:46,2023,2/27/2023,3/26/2023,31.10%,0.310990946,"260,625"
86,2/12/2025 14:46,2022,2/28/2022,3/27/2022,0.27%,0.002711052,"198,800"
91,2/12/2025 14:46,2024,3/4/2024,3/31/2024,27.96%,0.279647954,"321,687.50"
92,2/12/2025 14:46,2023,3/6/2023,4/2/2023,18.65%,0.186489676,"251,387.50"
93,2/12/2025 14:46,2022,3/7/2022,4/3/2022,13.45%,0.134462218,"211,875"
98,2/12/2025 14:46,2024,3/11/2024,4/7/2024,24.39%,0.243923569,"323,062.50"
99,2/12/2025 14:46,2023,3/13/2023,4/9/2023,25.16%,0.251626506,"259,712.50"
100,2/12/2025 14:46,2022,3/14/2022,4/10/2022,9.64%,0.096360874,"207,500"
105,2/12/2025 14:46,2024,3/18/2024,4/14/2024,24.50%,0.245004386,"319,312.50"
106,2/12/2025 14:46,2023,3/20/2023,4/16/2023,14.82%,0.148181309,"256,475"
107,2/12/2025 14:46,2022,3/21/2022,4/17/2022,19.36%,0.193641039,"223,375"
112,2/12/2025 14:46,2024,3/25/2024,4/21/2024,13.19%,0.131886884,"290,187.50"
