Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
Corp ID,Corp Name,"ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%","ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%","ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%","ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%","ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%","ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%","ELA
Below
Proficiency","ELA 
Approaching
Proficiency","ELA 
At
Proficiency","ELA 
Above
Proficiency","ELA
Total
Proficient","ELA
Total
Tested","ELA
Proficient 
%",
0015,Adams Central Community Schools,35,21,24,9,33,89,37.1%,27,24,26,17,43,94,45.7%,41,28,27,6,33,102,32.4%,23,20,51,17,68,111,61.3%,20,22,28,30,58,100,58.0%,22,24,24,29,53,99,53.5%,168,139,180,108,288,595,48.4%,
0025,North Adams Community Schools,51,25,22,2,24,100,24.0%,31,19,27,14,41,91,45.1%,23,24,25,10,35,82,42.7%,26,27,18,12,30,83,36.1%,32,24,23,14,37,93,39.8%,23,31,28,16,44,98,44.9%,186,150,143,68,211,547,38.6%,
0035,South Adams Schools,29,30,23,8,31,90,34.4%,29,27,24,20,44,100,44.0%,27,23,29,11,40,90,44.4%,37,34,25,5,30,101,29.7%,35,26,21,11,32,93,34.4%,19,21,20,28,48,88,54.5%,176,161,142,83,225,562,40.0%,
0125,MSD Southwest Allen County Schls,135,110,157,144,301,546,55.1%,128,112,148,150,298,538,55.4%,138,129,187,115,302,569,53.1%,140,148,192,111,303,591,51.3%,119,169,200,135,335,623,53.8%,143,165,167,138,305,613,49.8%,803,833,1051,793,1844,3480,53.0%,
0225,Northwest Allen County Schools,165,143,168,116,284,592,48.0%,161,180,181,133,314,655,47.9%,145,179,237,89,326,650,50.2%,182,180,186,138,324,686,47.2%,152,195,190,129,319,666,47.9%,138,173,185,156,341,652,52.3%,943,1050,1147,761,1908,3901,48.9%,
0235,Fort Wayne Community Schools,1035,445,417,238,655,2135,30.7%,959,435,407,312,719,2113,34.0%,983,428,433,184,617,2028,30.4%,1051,422,337,148,485,1958,24.8%,1031,474,385,155,540,2045,26.4%,989,491,321,202,523,2003,26.1%,6048,2695,2300,1239,3539,12282,28.8%,
0255,East Allen County Schools,274,140,153,111,264,678,38.9%,280,171,177,128,305,756,40.3%,296,141,187,78,265,702,37.7%,251,163,177,120,297,711,41.8%,246,215,182,108,290,751,38.6%,258,184,188,138,326,768,42.4%,1605,1014,1064,683,1747,4366,40.0%,
0365,Bartholomew Con School Corp,343,185,188,129,317,845,37.5%,320,171,178,183,361,852,42.4%,307,165,232,123,355,827,42.9%,297,195,191,162,353,845,41.8%,332,197,184,129,313,842,37.2%,314,204,165,174,339,857,39.6%,1913,1117,1138,900,2038,5068,40.2%,
0370,Flat Rock-Hawcreek School Corp,21,16,14,5,19,56,33.9%,31,11,24,13,37,79,46.8%,20,23,32,9,41,84,48.8%,26,21,21,8,29,76,38.2%,31,23,18,3,21,75,28.0%,19,24,17,8,25,68,36.8%,148,118,126,46,172,438,39.3%,
