Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,Grade 4,,,Grade 5,,,Grade 6,,,Grade 7,,,Grade 8,,,Corporation Total,,,
Corp ID,Corp Name,"ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%",
0015,Adams Central Community Schools,30,89,33.7%,38,94,40.4%,25,102,24.5%,63,111,56.8%,46,100,46.0%,48,99,48.5%,250,595,42.0%,
0025,North Adams Community Schools,21,100,21.0%,28,90,31.1%,15,82,18.3%,25,82,30.5%,21,93,22.6%,26,98,26.5%,136,545,25.0%,
0035,South Adams Schools,30,90,33.3%,34,100,34.0%,36,90,40.0%,25,101,24.8%,29,93,31.2%,42,88,47.7%,196,562,34.9%,
0125,MSD Southwest Allen County Schls,267,546,48.9%,249,538,46.3%,245,569,43.1%,227,591,38.4%,250,623,40.1%,231,612,37.7%,1469,3479,42.2%,
0225,Northwest Allen County Schools,259,592,43.8%,256,654,39.1%,219,650,33.7%,224,685,32.7%,210,666,31.5%,203,651,31.2%,1371,3898,35.2%,
0235,Fort Wayne Community Schools,540,2131,25.3%,516,2104,24.5%,423,2022,20.9%,316,1952,16.2%,295,2038,14.5%,230,1994,11.5%,2320,12241,19.0%,
0255,East Allen County Schools,227,677,33.5%,223,755,29.5%,182,702,25.9%,203,710,28.6%,178,750,23.7%,190,767,24.8%,1203,4361,27.6%,
0365,Bartholomew Con School Corp,280,844,33.2%,302,850,35.5%,271,826,32.8%,257,845,30.4%,219,840,26.1%,219,856,25.6%,1548,5061,30.6%,
0370,Flat Rock-Hawcreek School Corp,18,56,32.1%,31,79,39.2%,31,84,36.9%,24,76,31.6%,14,75,18.7%,16,68,23.5%,134,438,30.6%,
0395,Benton Community School Corp,22,101,21.8%,26,105,24.8%,28,102,27.5%,32,126,25.4%,32,138,23.2%,14,124,11.3%,154,696,22.1%,
0515,Blackford County Schools,39,110,35.5%,16,89,18.0%,28,116,24.1%,27,99,27.3%,32,101,31.7%,38,110,34.5%,180,625,28.8%,
0615,Western Boone Co Com Sch Dist,59,122,48.4%,57,104,54.8%,57,120,47.5%,51,112,45.5%,64,114,56.1%,49,142,34.5%,337,714,47.2%,
0630,Zionsville Community Schools,374,603,62.0%,415,628,66.1%,294,607,48.4%,315,610,51.6%,333,596,55.9%,286,556,51.4%,2017,3600,56.0%,
0665,Lebanon Community School Corp,94,275,34.2%,100,271,36.9%,69,265,26.0%,88,293,30.0%,81,257,31.5%,78,268,29.1%,510,1629,31.3%,
0670,Brown County School Corporation,48,113,42.5%,46,107,43.0%,39,115,33.9%,34,133,25.6%,30,138,21.7%,19,108,17.6%,216,714,30.3%,
0750,Carroll Consolidated School Corp,19,72,26.4%,33,83,39.8%,21,87,24.1%,21,61,34.4%,20,85,23.5%,18,82,22.0%,132,470,28.1%,
0755,Delphi Community School Corp,21,103,20.4%,20,104,19.2%,25,96,26.0%,18,98,18.4%,16,91,17.6%,18,91,19.8%,118,583,20.2%,
0775,Pioneer Regional School Corp,16,65,24.6%,8,60,13.3%,3,79,3.8%,11,75,14.7%,25,58,43.1%,19,69,27.5%,82,406,20.2%,
0815,Lewis Cass Schools ,15,102,14.7%,22,80,27.5%,26,118,22.0%,23,105,21.9%,21,108,19.4%,18,99,18.2%,125,612,20.4%,
0875,Logansport Community Sch Corp,64,335,19.1%,64,332,19.3%,31,329,9.4%,28,324,8.6%,24,311,7.7%,36,303,11.9%,247,1934,12.8%,
0935,Borden-Henryville School Corporation,32,110,29.1%,49,139,35.3%,25,144,17.4%,47,148,31.8%,29,114,25.4%,18,128,14.1%,200,783,25.5%,
0945,Silver Creek School Corporation,91,247,36.8%,70,217,32.3%,70,215,32.6%,71,228,31.1%,71,274,25.9%,99,248,39.9%,472,1429,33.0%,
1000,Clarksville Community School Corp,27,271,10.0%,32,279,11.5%,21,304,6.9%,19,423,4.5%,33,450,7.3%,26,555,4.7%,158,2282,6.9%,
1010,Greater Clark County Schools,225,750,30.0%,251,780,32.2%,190,787,24.1%,192,708,27.1%,158,761,20.8%,158,789,20.0%,1174,4575,25.7%,
1125,Clay Community Schools,131,303,43.2%,127,303,41.9%,142,283,50.2%,98,287,34.1%,99,292,33.9%,82,303,27.1%,679,1771,38.3%,
1150,Clinton Central School Corporation,26,64,40.6%,26,62,41.9%,23,62,37.1%,25,62,40.3%,16,64,25.0%,7,55,12.7%,123,369,33.3%,
1160,Clinton Prairie School Corporation,34,100,34.0%,31,88,35.2%,29,92,31.5%,34,94,36.2%,29,76,38.2%,18,92,19.6%,175,542,32.3%,
1170,Community Schools of Frankfort,67,219,30.6%,58,215,27.0%,26,223,11.7%,33,202,16.3%,48,230,20.9%,38,210,18.1%,270,1299,20.8%,
1180,Rossville Con School District,35,86,40.7%,32,79,40.5%,23,80,28.8%,17,66,25.8%,30,59,50.8%,21,83,25.3%,158,453,34.9%,
1300,Crawford County Community Sch Corp,30,92,32.6%,33,90,36.7%,36,88,40.9%,32,96,33.3%,17,81,21.0%,38,93,40.9%,186,540,34.4%,
1315,Barr-Reeve Community Schools Inc,42,81,51.9%,48,100,48.0%,42,96,43.8%,26,68,38.2%,29,78,37.2%,45,73,61.6%,232,496,46.8%,
1375,North Daviess Com Schools,34,87,39.1%,17,84,20.2%,17,71,23.9%,34,78,43.6%,20,91,22.0%,14,88,15.9%,136,499,27.3%,
