Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
Corp ID,Corp Name,"Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%","Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%","Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%","Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%","Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%","Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%","Math
Below
Proficiency","Math 
Approaching
Proficiency","Math 
At
Proficiency","Math 
Above
Proficiency","Math
Total
Proficient","Math
Total
Tested","Math
Proficient 
%",
0015,Adams Central Community Schools,16,17,39,17,56,89,62.9%,20,21,37,16,53,94,56.4%,28,30,22,22,44,102,43.1%,15,15,36,45,81,111,73.0%,17,23,26,34,60,100,60.0%,11,18,31,39,70,99,70.7%,107,124,191,173,364,595,61.2%,
0025,North Adams Community Schools,28,27,32,13,45,100,45.0%,35,22,29,4,33,90,36.7%,39,25,11,7,18,82,22.0%,28,22,26,6,32,82,39.0%,38,31,14,10,24,93,25.8%,37,28,21,12,33,98,33.7%,205,155,133,52,185,545,33.9%,
0035,South Adams Schools,20,16,32,22,54,90,60.0%,18,26,38,18,56,100,56.0%,15,24,27,24,51,90,56.7%,33,28,26,14,40,101,39.6%,24,28,19,22,41,93,44.1%,16,21,19,32,51,88,58.0%,126,143,161,132,293,562,52.1%,
0125,MSD Southwest Allen County Schls,91,97,160,198,358,546,65.6%,116,107,173,142,315,538,58.6%,131,144,147,147,294,569,51.7%,172,142,171,106,277,591,46.9%,150,167,163,143,306,623,49.1%,159,163,155,135,290,612,47.4%,819,820,969,871,1840,3479,52.9%,
0225,Northwest Allen County Schools,102,103,232,155,387,592,65.4%,130,167,237,120,357,654,54.6%,148,221,174,107,281,650,43.2%,190,203,183,109,292,685,42.6%,169,237,181,79,260,666,39.0%,192,228,141,90,231,651,35.5%,931,1159,1148,660,1808,3898,46.4%,
0235,Fort Wayne Community Schools,964,385,490,294,784,2133,36.8%,1001,433,440,230,670,2104,31.8%,1055,426,305,238,543,2024,26.8%,1075,417,294,169,463,1955,23.7%,1247,445,201,151,352,2044,17.2%,1284,416,177,119,296,1996,14.8%,6626,2522,1907,1201,3108,12256,25.4%,
0255,East Allen County Schools,225,125,180,147,327,677,48.3%,295,167,198,95,293,755,38.8%,306,170,131,95,226,702,32.2%,318,137,133,122,255,710,35.9%,321,209,128,93,221,751,29.4%,366,187,119,95,214,767,27.9%,1831,995,889,647,1536,4362,35.2%,
0365,Bartholomew Con School Corp,241,166,224,213,437,844,51.8%,312,144,213,181,394,850,46.4%,286,190,167,183,350,826,42.4%,352,174,150,169,319,845,37.8%,385,167,156,132,288,840,34.3%,394,203,118,141,259,856,30.3%,1970,1044,1028,1019,2047,5061,40.4%,
0370,Flat Rock-Hawcreek School Corp,15,6,20,15,35,56,62.5%,19,17,24,19,43,79,54.4%,15,27,25,17,42,84,50.0%,23,18,19,16,35,76,46.1%,32,22,16,6,22,76,28.9%,29,20,11,8,19,68,27.9%,133,110,115,81,196,439,44.6%,
