Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 4,,,,,,,Grade 6,,,,,,,Corporation Total,,,,,,,
Corp ID,Corp Name,"Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
Proficient","Science
Total
Tested","Science
Proficient 
%","Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
Proficient","Science
Total
Tested","Science
Proficient 
%","Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
Proficient","Science
Total
Tested","Science
Proficient 
%",
0015,Adams Central Community Schools,11,42,37,4,41,94,43.6%,11,31,35,34,69,111,62.2%,22,73,72,38,110,205,53.7%,
0025,North Adams Community Schools,17,36,28,9,37,90,41.1%,15,38,17,12,29,82,35.4%,32,74,45,21,66,172,38.4%,
0035,South Adams Schools,17,48,29,6,35,100,35.0%,18,37,25,20,45,100,45.0%,35,85,54,26,80,200,40.0%,
0125,MSD Southwest Allen County Schls,65,178,205,90,295,538,54.8%,40,198,140,213,353,591,59.7%,105,376,345,303,648,1129,57.4%,
0225,Northwest Allen County Schools,59,239,261,95,356,654,54.4%,83,236,152,214,366,685,53.4%,142,475,413,309,722,1339,53.9%,
0235,Fort Wayne Community Schools,582,828,517,174,691,2101,32.9%,684,767,250,246,496,1947,25.5%,1266,1595,767,420,1187,4048,29.3%,
0255,East Allen County Schools,177,312,205,59,264,753,35.1%,174,292,121,123,244,710,34.4%,351,604,326,182,508,1463,34.7%,
0365,Bartholomew Con School Corp,195,274,274,106,380,849,44.8%,188,346,144,166,310,844,36.7%,383,620,418,272,690,1693,40.8%,
0370,Flat Rock-Hawcreek School Corp,15,31,24,9,33,79,41.8%,21,30,14,11,25,76,32.9%,36,61,38,20,58,155,37.4%,
0395,Benton Community School Corp,21,47,28,10,38,106,35.8%,17,50,30,29,59,126,46.8%,38,97,58,39,97,232,41.8%,
0515,Blackford County Schools,26,36,24,3,27,89,30.3%,19,43,17,20,37,99,37.4%,45,79,41,23,64,188,34.0%,
