Data Notes:,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,
,,Grade 5,,,,,,,
Corp ID,Corp Name,"Social Studies
Below
Proficiency","Social Studies 
Approaching
Proficiency","Social Studies 
At
Proficiency","Social Studies 
Above
Proficiency","Social Studies
Total
Proficient","Social Studies
Total
Tested","Social Studies
Proficient 
%",
0015,Adams Central Community Schools,38,25,24,15,39,102,38.2%,
0025,North Adams Community Schools,29,22,20,11,31,82,37.8%,
0035,South Adams Schools,32,19,22,17,39,90,43.3%,
0125,MSD Southwest Allen County Schls,160,105,160,144,304,569,53.4%,
0225,Northwest Allen County Schools,144,130,221,155,376,650,57.8%,
0235,Fort Wayne Community Schools,1250,323,275,181,456,2029,22.5%,
0255,East Allen County Schools,368,102,135,96,231,701,33.0%,
0365,Bartholomew Con School Corp,390,159,161,112,273,822,33.2%,
0370,Flat Rock-Hawcreek School Corp,43,23,13,5,18,84,21.4%,
0395,Benton Community School Corp,39,19,26,18,44,102,43.1%,
0515,Blackford County Schools,56,17,30,13,43,116,37.1%,
0615,Western Boone Co Com Sch Dist,34,26,30,30,60,120,50.0%,
0630,Zionsville Community Schools,88,83,172,263,435,606,71.8%,
0665,Lebanon Community School Corp,108,56,70,31,101,265,38.1%,
0670,Brown County School Corporation,39,24,36,16,52,115,45.2%,
0750,Carroll Consolidated School Corp,36,24,20,7,27,87,31.0%,
0755,Delphi Community School Corp,40,18,22,17,39,97,40.2%,
0775,Pioneer Regional School Corp,52,18,7,2,9,79,11.4%,
0815,Lewis Cass Schools ,44,36,28,10,38,118,32.2%,
0875,Logansport Community Sch Corp,215,42,45,27,72,329,21.9%,
0935,Borden-Henryville School Corporation,80,26,29,9,38,144,26.4%,
0945,Silver Creek School Corporation,102,50,46,17,63,215,29.3%,
1000,Clarksville Community School Corp,227,31,31,13,44,302,14.6%,
1010,Greater Clark County Schools,402,162,155,69,224,788,28.4%,
1125,Clay Community Schools,80,53,78,72,150,283,53.0%,
1150,Clinton Central School Corporation,27,12,13,10,23,62,37.1%,
1160,Clinton Prairie School Corporation,50,15,18,9,27,92,29.3%,
1170,Community Schools of Frankfort,155,38,25,5,30,223,13.5%,
1180,Rossville Con School District,30,14,20,16,36,80,45.0%,
1300,Crawford County Community Sch Corp,32,20,19,17,36,88,40.9%,
1315,Barr-Reeve Community Schools Inc,22,16,34,24,58,96,60.4%,
1375,North Daviess Com Schools,19,11,19,22,41,71,57.7%,
1405,Washington Community Schools,87,34,37,22,59,180,32.8%,
1560,Sunman-Dearborn Com Sch Corp,54,32,74,65,139,225,61.8%,
1600,South Dearborn Community Sch Corp,50,29,33,14,47,126,37.3%,
1620,Lawrenceburg Community School Corp,39,24,47,27,74,137,54.0%,
1655,Decatur County Community Schools,45,25,34,15,49,119,41.2%,
1730,Greensburg Community Schools,52,23,29,36,65,140,46.4%,
1805,DeKalb Co Eastern Com Sch Dist,44,20,12,13,25,89,28.1%,
1820,Garrett-Keyser-Butler Com Sch Corp,64,25,17,3,20,109,18.3%,
1835,DeKalb Co Ctl United Sch Dist,90,46,54,37,91,227,40.1%,
1875,Delaware Community School Corp,47,35,51,48,99,181,54.7%,
1885,Wes-Del Community Schools,32,19,13,5,18,69,26.1%,
1895,Liberty-Perry Community Sch Corp,34,19,25,20,45,98,45.9%,
1900,Cowan Community School Corp,24,11,24,13,37,72,51.4%,
1910,Yorktown Community Schools,62,52,65,42,107,221,48.4%,
1940,Daleville Community Schools,38,16,17,9,26,80,32.5%,
1970,Muncie Community Schools,265,52,69,19,88,405,21.7%,
2040,Northeast Dubois Co Sch Corp,26,16,15,11,26,68,38.2%,
2100,Southeast Dubois Co Sch Corp,22,21,32,27,59,102,57.8%,
2110,Southwest Dubois Co Sch Corp,56,34,25,23,48,138,34.8%,
2120,Greater Jasper Consolidated Schs,77,62,57,46,103,242,42.6%,
2155,Fairfield Community Schools,71,36,52,25,77,184,41.8%,
2260,Baugo Community Schools,52,29,36,9,45,126,35.7%,
2270,Concord Community Schools,197,78,45,18,63,338,18.6%,
2275,Middlebury Community Schools,138,72,73,61,134,344,39.0%,
2285,Wa-Nee Community Schools,69,43,56,49,105,217,48.4%,
2305,Elkhart Community Schools,536,125,83,40,123,784,15.7%,
2315,Goshen Community Schools,263,66,84,51,135,464,29.1%,
2395,Fayette County School Corporation,70,43,50,36,86,199,43.2%,
2400,New Albany-Floyd Co Con Sch,331,136,172,140,312,779,40.1%,
2435,Attica Consolidated School Corp,18,9,16,2,18,45,40.0%,
2440,Covington Community School Corp,13,10,19,10,29,52,55.8%,
2455,Southeast Fountain School Corp,38,16,23,7,30,84,35.7%,
2475,Franklin County Community Sch Corp,40,30,47,28,75,145,51.7%,
2645,Rochester Community School Corp,50,17,27,15,42,109,38.5%,
2650,Caston School Corporation,25,16,18,11,29,70,41.4%,
2725,East Gibson School Corporation,17,7,17,8,25,49,51.0%,
2735,North Gibson School Corporation,92,21,20,12,32,145,22.1%,
2765,South Gibson School Corporation,44,34,39,24,63,141,44.7%,
2815,Eastbrook Community Sch Corp,38,23,25,19,44,105,41.9%,
2825,Madison-Grant United School Corp,81,28,18,22,40,149,26.8%,
2855,Mississinewa Community School Corp,81,28,27,13,40,149,26.8%,
2865,Marion Community Schools,176,44,32,13,45,265,17.0%,
2920,Bloomfield School District,21,19,26,13,39,79,49.4%,
2940,Eastern Greene Schools,49,8,18,13,31,88,35.2%,
2950,Linton-Stockton School Corporation,32,18,28,15,43,93,46.2%,
2960,MSD Shakamak Schools,21,12,17,2,19,52,36.5%,
2980,White River Valley School District,24,6,9,7,16,46,34.8%,
3005,Hamilton Southeastern Schools,384,300,468,444,912,1596,57.1%,
3025,Hamilton Heights School Corp,56,36,43,46,89,181,49.2%,
3030,Westfield-Washington Schools,145,111,210,235,445,701,63.5%,
3055,Sheridan Community Schools,30,18,17,12,29,77,37.7%,
3060,Carmel Clay Schools,189,146,338,512,850,1185,71.7%,
3070,Noblesville Schools,226,124,261,195,456,806,56.6%,
3115,New Palestine Community Schools,93,51,64,54,118,262,45.0%,
3125,Greenfield-Central Com Schools,113,64,94,33,127,304,41.8%,
3135,Mt Vernon Community School Corp,126,69,101,61,162,357,45.4%,
3145,Eastern Hancock Co Com Sch Corp,20,16,30,21,51,87,58.6%,
3160,Lanesville Community School Corp,17,10,15,14,29,56,51.8%,
3180,North Harrison Com School Corp,54,35,32,29,61,150,40.7%,
