Day of Year,Year of Period End,Period Begin,Period End,Median Pending Sqft Yoy (tooltip),Median Pending Sqft Yoy,Median Pending Sqft
1,2023,12/5/2022,1/1/2023,-10.90%,-11%,"1,802.10"
2,2022,12/6/2021,1/2/2022,8.30%,8%,"2,023"
5,2025,12/9/2024,1/5/2025,9.90%,10%,"1,771.70"
7,2024,12/11/2023,1/7/2024,-18.80%,-19%,"1,612.10"
8,2023,12/12/2022,1/8/2023,5.90%,6%,"1,986.10"
9,2022,12/13/2021,1/9/2022,1.10%,1%,"1,875.60"
12,2025,12/16/2024,1/12/2025,10.40%,10%,"1,722.70"
14,2024,12/18/2023,1/14/2024,-28.30%,-28%,"1,560.60"
15,2023,12/19/2022,1/15/2023,21.40%,21%,"2,177.50"
16,2022,12/20/2021,1/16/2022,-3.30%,-3%,"1,793"
19,2025,12/23/2024,1/19/2025,1.60%,2%,"1,566.10"
21,2024,12/25/2023,1/21/2024,-25.30%,-25%,"1,541.20"
22,2023,12/26/2022,1/22/2023,6.90%,7%,"2,063.50"
23,2022,12/27/2021,1/23/2022,-7.50%,-8%,"1,929.60"
26,2025,12/30/2024,1/26/2025,-6.40%,-6%,"1,684.60"
28,2024,1/1/2024,1/28/2024,-14.80%,-15%,"1,799.10"
29,2023,1/2/2023,1/29/2023,18.50%,19%,"2,110.50"
30,2022,1/3/2022,1/30/2022,-17.50%,-17%,"1,780.30"
33,2025,1/6/2025,2/2/2025,-3.90%,-4%,"1,839.80"
35,2024,1/8/2024,2/4/2024,-6.30%,-6%,"1,914.10"
36,2023,1/9/2023,2/5/2023,16.30%,16%,"2,043.10"
37,2022,1/10/2022,2/6/2022,-20.90%,-21%,"1,757.20"
40,2025,1/13/2025,2/9/2025,5.30%,5%,"1,988.60"
42,2024,1/15/2024,2/11/2024,2.20%,2%,"1,888.60"
43,2023,1/16/2023,2/12/2023,2.20%,2%,"1,848.10"
44,2022,1/17/2022,2/13/2022,-25.90%,-26%,"1,809.20"
