Day of Year,Year of Period End,Period Begin,Period End,Median Pending Sqft Yoy (tooltip),Median Pending Sqft Yoy,Median Pending Sqft
1,2023,12/5/2022,1/1/2023,9.00%,9%,"1,771"
2,2022,12/6/2021,1/2/2022,6.30%,6%,"1,625.10"
5,2025,12/9/2024,1/5/2025,3.30%,3%,"1,526"
7,2024,12/11/2023,1/7/2024,-7.30%,-7%,"1,477.30"
8,2023,12/12/2022,1/8/2023,-1.90%,-2%,"1,593.70"
9,2022,12/13/2021,1/9/2022,5.50%,6%,"1,624.20"
12,2025,12/16/2024,1/12/2025,-2.70%,-3%,"1,516.50"
14,2024,12/18/2023,1/14/2024,2.80%,3%,"1,557.80"
15,2023,12/19/2022,1/15/2023,-9.10%,-9%,"1,515.60"
16,2022,12/20/2021,1/16/2022,12.90%,13%,"1,668.20"
19,2025,12/23/2024,1/19/2025,2.20%,2%,"1,601.20"
21,2024,12/25/2023,1/21/2024,4.20%,4%,"1,567.30"
22,2023,12/26/2022,1/22/2023,-8.30%,-8%,"1,504.60"
23,2022,12/27/2021,1/23/2022,15.50%,16%,"1,640.60"
26,2025,12/30/2024,1/26/2025,-5.80%,-6%,"1,589.50"
28,2024,1/1/2024,1/28/2024,8.40%,8%,"1,688"
29,2023,1/2/2023,1/29/2023,1.30%,1%,"1,557.60"
30,2022,1/3/2022,1/30/2022,10.60%,11%,"1,537.20"
33,2025,1/6/2025,2/2/2025,-9.00%,-9%,"1,560.50"
35,2024,1/8/2024,2/4/2024,12.30%,12%,"1,714.10"
36,2023,1/9/2023,2/5/2023,-2.20%,-2%,"1,526.80"
37,2022,1/10/2022,2/6/2022,9.40%,9%,"1,561.80"
40,2025,1/13/2025,2/9/2025,-10.00%,-10%,"1,480.50"
42,2024,1/15/2024,2/11/2024,6.90%,7%,"1,645.80"
43,2023,1/16/2023,2/12/2023,3.50%,4%,"1,539.70"
44,2022,1/17/2022,2/13/2022,-5.50%,-5%,"1,487.60"
49,2024,1/22/2024,2/18/2024,4.90%,5%,"1,655.60"
50,2023,1/23/2023,2/19/2023,4.00%,4%,"1,578.20"
51,2022,1/24/2022,2/20/2022,-8.20%,-8%,"1,517.80"
56,2024,1/29/2024,2/25/2024,-1.70%,-2%,"1,493.60"
57,2023,1/30/2023,2/26/2023,-1.60%,-2%,"1,520.20"
58,2022,1/31/2022,2/27/2022,-9.40%,-9%,"1,544.60"
63,2024,2/5/2024,3/3/2024,-3.50%,-4%,"1,446.80"
64,2023,2/6/2023,3/5/2023,-2.50%,-3%,"1,500"
65,2022,2/7/2022,3/6/2022,-11.30%,-11%,"1,539"
70,2024,2/12/2024,3/10/2024,0.00%,0%,"1,491.50"
71,2023,2/13/2023,3/12/2023,-2.80%,-3%,"1,491.70"
72,2022,2/14/2022,3/13/2022,-7.50%,-8%,"1,534.70"
77,2024,2/19/2024,3/17/2024,-2.50%,-3%,"1,459"
78,2023,2/20/2023,3/19/2023,-1.40%,-1%,"1,496.50"
79,2022,2/21/2022,3/20/2022,-8.40%,-8%,"1,518.30"
84,2024,2/26/2024,3/24/2024,-2.80%,-3%,"1,491.50"
85,2023,2/27/2023,3/26/2023,3.90%,4%,"1,534.10"
86,2022,2/28/2022,3/27/2022,-10.30%,-10%,"1,477.20"
91,2024,3/4/2024,3/31/2024,-0.10%,0%,"1,533.30"
92,2023,3/6/2023,4/2/2023,2.70%,3%,"1,534.10"
93,2022,3/7/2022,4/3/2022,-8.80%,-9%,"1,494.20"
98,2024,3/11/2024,4/7/2024,-1.00%,-1%,"1,527.30"
99,2023,3/13/2023,4/9/2023,2.10%,2%,"1,543.30"
100,2022,3/14/2022,4/10/2022,-10.80%,-11%,"1,511"
105,2024,3/18/2024,4/14/2024,8.40%,8%,"1,609.30"
106,2023,3/20/2023,4/16/2023,-5.00%,-5%,"1,484.10"
107,2022,3/21/2022,4/17/2022,-9.30%,-9%,"1,562.10"
112,2024,3/25/2024,4/21/2024,4.80%,5%,"1,589.10"
113,2023,3/27/2023,4/23/2023,-5.00%,-5%,"1,517"
114,2022,3/28/2022,4/24/2022,-7.40%,-7%,"1,596.30"
119,2024,4/1/2024,4/28/2024,-3.00%,-3%,"1,619.20"
120,2023,4/3/2023,4/30/2023,6.10%,6%,"1,668.50"
121,2022,4/4/2022,5/1/2022,-8.80%,-9%,"1,573.30"
126,2024,4/8/2024,5/5/2024,-5.60%,-6%,"1,604.80"
127,2023,4/10/2023,5/7/2023,4.60%,5%,"1,700"
128,2022,4/11/2022,5/8/2022,-2.40%,-2%,"1,625.60"
133,2024,4/15/2024,5/12/2024,-10.10%,-10%,"1,538.10"
134,2023,4/17/2023,5/14/2023,7.40%,7%,"1,711.50"
135,2022,4/18/2022,5/15/2022,-0.20%,0%,"1,593.50"
140,2024,4/22/2024,5/19/2024,-6.00%,-6%,"1,553.70"
141,2023,4/24/2023,5/21/2023,4.50%,5%,"1,652.20"
142,2022,4/25/2022,5/22/2022,-0.70%,-1%,"1,580.30"
147,2024,4/29/2024,5/26/2024,-0.20%,0%,"1,489.70"
148,2023,5/1/2023,5/28/2023,-6.00%,-6%,"1,493.30"
149,2022,5/2/2022,5/29/2022,0.20%,0%,"1,588.30"
154,2024,5/6/2024,6/2/2024,3.90%,4%,"1,476.20"
155,2023,5/8/2023,6/4/2023,-8.40%,-8%,"1,420.80"
156,2022,5/9/2022,6/5/2022,-2.60%,-3%,"1,550.70"
161,2024,5/13/2024,6/9/2024,5.90%,6%,"1,532.70"
162,2023,5/15/2023,6/11/2023,-6.10%,-6%,"1,447"
163,2022,5/16/2022,6/12/2022,-3.70%,-4%,"1,541.60"
168,2024,5/20/2024,6/16/2024,6.90%,7%,"1,579.60"
169,2023,5/22/2023,6/18/2023,-3.60%,-4%,"1,477"
170,2022,5/23/2022,6/19/2022,-1.20%,-1%,"1,531.80"
175,2024,5/27/2024,6/23/2024,1.30%,1%,"1,578.70"
176,2023,5/29/2023,6/25/2023,0.60%,1%,"1,559.20"
177,2022,5/30/2022,6/26/2022,3.20%,3%,"1,550.10"
182,2024,6/3/2024,6/30/2024,1.00%,1%,"1,569.70"
183,2023,6/5/2023,7/2/2023,-1.00%,-1%,"1,553.50"
184,2022,6/6/2022,7/3/2022,-0.60%,-1%,"1,568.70"
189,2024,6/10/2024,7/7/2024,2.50%,2%,"1,523.80"
190,2023,6/12/2023,7/9/2023,-10.70%,-11%,"1,486.80"
191,2022,6/13/2022,7/10/2022,-1.90%,-2%,"1,665.50"
196,2024,6/17/2024,7/14/2024,3.20%,3%,"1,455.50"
197,2023,6/19/2023,7/16/2023,-17.20%,-17%,"1,410.80"
198,2022,6/20/2022,7/17/2022,-1.00%,-1%,"1,704"
203,2024,6/24/2024,7/21/2024,15.60%,16%,"1,555"
204,2023,6/26/2023,7/23/2023,-24.30%,-24%,"1,345.70"
205,2022,6/27/2022,7/24/2022,3.90%,4%,"1,778.50"
210,2024,7/1/2024,7/28/2024,2.30%,2%,"1,543.20"
211,2023,7/3/2023,7/30/2023,-15.00%,-15%,"1,509.20"
212,2022,7/4/2022,7/31/2022,8.90%,9%,"1,775"
217,2024,7/8/2024,8/4/2024,1.40%,1%,"1,568.10"
218,2023,7/10/2023,8/6/2023,-8.40%,-8%,"1,547.20"
219,2022,7/11/2022,8/7/2022,11.40%,11%,"1,688.50"
224,2024,7/15/2024,8/11/2024,-5.30%,-5%,"1,571.30"
225,2023,7/17/2023,8/13/2023,-3.30%,-3%,"1,659"
226,2022,7/18/2022,8/14/2022,14.10%,14%,"1,716.20"
231,2024,7/22/2024,8/18/2024,-10.00%,-10%,"1,496.80"
232,2023,7/24/2023,8/20/2023,3.60%,4%,"1,662.30"
233,2022,7/25/2022,8/21/2022,4.80%,5%,"1,604.70"
