Day of Year,Year of Period End,Period Begin,Period End,Median Pending Sqft Yoy (tooltip),Median Pending Sqft Yoy,Median Pending Sqft
1,2023,12/5/2022,1/1/2023,-22.00%,-22%,"1,535.70"
2,2022,12/6/2021,1/2/2022,8.50%,9%,"1,969.80"
5,2025,12/9/2024,1/5/2025,-13.00%,-13%,"1,742.20"
7,2024,12/11/2023,1/7/2024,23.70%,24%,"2,002.70"
8,2023,12/12/2022,1/8/2023,-15.50%,-16%,"1,619.50"
9,2022,12/13/2021,1/9/2022,8.50%,9%,"1,917.70"
12,2025,12/16/2024,1/12/2025,2.00%,2%,"1,851.70"
14,2024,12/18/2023,1/14/2024,4.30%,4%,"1,815.70"
15,2023,12/19/2022,1/15/2023,-6.30%,-6%,"1,740.50"
16,2022,12/20/2021,1/16/2022,3.10%,3%,"1,858"
19,2025,12/23/2024,1/19/2025,-9.60%,-10%,"1,664.70"
21,2024,12/25/2023,1/21/2024,10.80%,11%,"1,842.20"
22,2023,12/26/2022,1/22/2023,-10.30%,-10%,"1,662.60"
23,2022,12/27/2021,1/23/2022,3.30%,3%,"1,853.70"
26,2025,12/30/2024,1/26/2025,-2.90%,-3%,"1,610.80"
28,2024,1/1/2024,1/28/2024,-0.90%,-1%,"1,658.70"
29,2023,1/2/2023,1/29/2023,5.30%,5%,"1,673.50"
30,2022,1/3/2022,1/30/2022,-6.60%,-7%,"1,588.70"
33,2025,1/6/2025,2/2/2025,-9.30%,-9%,"1,612.50"
35,2024,1/8/2024,2/4/2024,4.70%,5%,"1,777.10"
36,2023,1/9/2023,2/5/2023,6.70%,7%,"1,696.60"
37,2022,1/10/2022,2/6/2022,-5.30%,-5%,"1,589.50"
40,2025,1/13/2025,2/9/2025,-21.50%,-22%,"1,419.50"
42,2024,1/15/2024,2/11/2024,8.50%,9%,"1,809.10"
43,2023,1/16/2023,2/12/2023,5.10%,5%,"1,667.30"
44,2022,1/17/2022,2/13/2022,3.00%,3%,"1,586.70"
49,2024,1/22/2024,2/18/2024,5.80%,6%,"1,713"
50,2023,1/23/2023,2/19/2023,0.20%,0%,"1,618.70"
51,2022,1/24/2022,2/20/2022,-1.90%,-2%,"1,614.70"
56,2024,1/29/2024,2/25/2024,7.90%,8%,"1,797"
57,2023,1/30/2023,2/26/2023,-0.50%,-1%,"1,665.30"
58,2022,1/31/2022,2/27/2022,5.20%,5%,"1,674.20"
63,2024,2/5/2024,3/3/2024,9.20%,9%,"1,830.80"
64,2023,2/6/2023,3/5/2023,2.50%,3%,"1,677"
65,2022,2/7/2022,3/6/2022,-2.40%,-2%,"1,635.70"
70,2024,2/12/2024,3/10/2024,1.90%,2%,"1,784.10"
71,2023,2/13/2023,3/12/2023,11.50%,12%,"1,750.70"
72,2022,2/14/2022,3/13/2022,-10.10%,-10%,"1,570"
77,2024,2/19/2024,3/17/2024,9.10%,9%,"1,854.80"
78,2023,2/20/2023,3/19/2023,10.30%,10%,"1,699.50"
79,2022,2/21/2022,3/20/2022,-11.70%,-12%,"1,541.10"
84,2024,2/26/2024,3/24/2024,19.90%,20%,"1,880.60"
85,2023,2/27/2023,3/26/2023,-3.40%,-3%,"1,569.10"
86,2022,2/28/2022,3/27/2022,-13.60%,-14%,"1,624.10"
91,2024,3/4/2024,3/31/2024,12.50%,12%,"1,721.30"
92,2023,3/6/2023,4/2/2023,-5.00%,-5%,"1,530.60"
93,2022,3/7/2022,4/3/2022,-9.20%,-9%,"1,610.80"
98,2024,3/11/2024,4/7/2024,16.60%,17%,"1,822.20"
99,2023,3/13/2023,4/9/2023,-11.20%,-11%,"1,563.10"
100,2022,3/14/2022,4/10/2022,-2.70%,-3%,"1,760.60"
105,2024,3/18/2024,4/14/2024,9.10%,9%,"1,794.60"
106,2023,3/20/2023,4/16/2023,-7.20%,-7%,"1,644.30"
107,2022,3/21/2022,4/17/2022,0.30%,0%,"1,771.50"
112,2024,3/25/2024,4/21/2024,5.20%,5%,"1,766.10"
113,2023,3/27/2023,4/23/2023,-8.70%,-9%,"1,678.50"
114,2022,3/28/2022,4/24/2022,6.90%,7%,"1,838"
119,2024,4/1/2024,4/28/2024,-3.30%,-3%,"1,792.70"
120,2023,4/3/2023,4/30/2023,4.50%,4%,"1,854.20"
121,2022,4/4/2022,5/1/2022,6.10%,6%,"1,774.50"
126,2024,4/8/2024,5/5/2024,-1.20%,-1%,"1,689.60"
127,2023,4/10/2023,5/7/2023,1.30%,1%,"1,709.80"
128,2022,4/11/2022,5/8/2022,0.90%,1%,"1,687.50"
133,2024,4/15/2024,5/12/2024,1.20%,1%,"1,775.50"
134,2023,4/17/2023,5/14/2023,2.10%,2%,"1,753.60"
135,2022,4/18/2022,5/15/2022,6.30%,6%,"1,717.50"
140,2024,4/22/2024,5/19/2024,-7.40%,-7%,"1,738.30"
141,2023,4/24/2023,5/21/2023,22.10%,22%,"1,876.60"
142,2022,4/25/2022,5/22/2022,-7.70%,-8%,"1,536.60"
147,2024,4/29/2024,5/26/2024,9.30%,9%,"1,879.20"
148,2023,5/1/2023,5/28/2023,5.40%,5%,"1,719"
149,2022,5/2/2022,5/29/2022,-10.80%,-11%,"1,631"
154,2024,5/6/2024,6/2/2024,6.30%,6%,"1,979.50"
155,2023,5/8/2023,6/4/2023,2.50%,3%,"1,863"
156,2022,5/9/2022,6/5/2022,-0.60%,-1%,"1,817.50"
161,2024,5/13/2024,6/9/2024,1.30%,1%,"1,832.10"
162,2023,5/15/2023,6/11/2023,-3.70%,-4%,"1,808.50"
163,2022,5/16/2022,6/12/2022,-0.40%,0%,"1,877.70"
168,2024,5/20/2024,6/16/2024,9.30%,9%,"1,847.80"
169,2023,5/22/2023,6/18/2023,-11.60%,-12%,"1,690.60"
170,2022,5/23/2022,6/19/2022,0.60%,1%,"1,913.30"
175,2024,5/27/2024,6/23/2024,7.60%,8%,"1,802.10"
176,2023,5/29/2023,6/25/2023,-6.70%,-7%,"1,675.20"
177,2022,5/30/2022,6/26/2022,-0.10%,0%,"1,795"
182,2024,6/3/2024,6/30/2024,6.80%,7%,"1,741.60"
183,2023,6/5/2023,7/2/2023,0.10%,0%,"1,630"
184,2022,6/6/2022,7/3/2022,-12.60%,-13%,"1,628"
189,2024,6/10/2024,7/7/2024,16.10%,16%,"1,857.70"
190,2023,6/12/2023,7/9/2023,7.90%,8%,"1,599.50"
191,2022,6/13/2022,7/10/2022,-16.70%,-17%,"1,483"
196,2024,6/17/2024,7/14/2024,-0.20%,0%,"1,816.60"
197,2023,6/19/2023,7/16/2023,13.10%,13%,"1,819.60"
198,2022,6/20/2022,7/17/2022,-5.00%,-5%,"1,608.30"
203,2024,6/24/2024,7/21/2024,-4.90%,-5%,"1,753.10"
204,2023,6/26/2023,7/23/2023,7.60%,8%,"1,843.80"
205,2022,6/27/2022,7/24/2022,-1.50%,-2%,"1,713.80"
210,2024,7/1/2024,7/28/2024,-4.60%,-5%,"1,669.30"
211,2023,7/3/2023,7/30/2023,3.30%,3%,"1,750.10"
212,2022,7/4/2022,7/31/2022,-1.10%,-1%,"1,694.60"
217,2024,7/8/2024,8/4/2024,-9.40%,-9%,"1,585.50"
218,2023,7/10/2023,8/6/2023,0.90%,1%,"1,749.80"
219,2022,7/11/2022,8/7/2022,-4.80%,-5%,"1,734.60"
224,2024,7/15/2024,8/11/2024,-17.30%,-17%,"1,533"
225,2023,7/17/2023,8/13/2023,16.10%,16%,"1,854.10"
226,2022,7/18/2022,8/14/2022,-10.70%,-11%,"1,597.50"
231,2024,7/22/2024,8/18/2024,-22.40%,-22%,"1,465"
232,2023,7/24/2023,8/20/2023,15.80%,16%,"1,888.10"
